Object Name,Count,Object Type,Object Group,Role Association,Object Characteristic,Notes,AOI
pulse_neck_defib,10,PulseCheckPoint(Neck)Defib,Pulse Check,defib,Diagnosis,Check,AOI_PatientCore
pulse_neck_bvm,10,PulseCheckPoint(Neck)Airway,Pulse Check,airway,Diagnosis,Unsure,AOI_PatientCore
pulse_groin_defib,11,PulseCheckPoint(Groin)Defib,Pulse Check,defib,Diagnosis,Unsure,AOI_PatientCore
pulse_groin_bvm,12,PulseCheckPoint(Groin)Airway,Pulse Check,airway,Diagnosis,Unsure,AOI_PatientCore
female_avatar1,6,NPC,NPC,,,Unsure,AOI_NPC/Other
cpr_hands_obbjjj,6,CPR Hand,CPR,cpr,Intervention,Unsure,AOI_CPRHands
Upper Part Vital Cognitive,30,ECG,Patient Monitor,teamlead,Diagnosis,Unsure,AOI_Monitor
Television Ultrasound,17,Television Ultrasound,Television,teamlead,Diagnosis,Unsure,AOI_Monitor
Television - XRay,17,Television XRay,Television,teamlead,Diagnosis,Unsure,AOI_Monitor
Television - EKG,31,Television EKG,Television,teamlead,Diagnosis,Unsure,AOI_Monitor
Teleport Icon Tablet 2,24,Teleport to Observe Area,Teleport,,,Unsure,AOI_TeleportNavigation
Teleport Icon Tablet,23,Teleport to Check Prior Patient Info,Teleport,teamlead,Diagnosis,Unsure,AOI_TeleportNavigation
Teleport Icon Meds,20,Teleport to Medicine Area,Teleport,defib,Intervention,Unsure,AOI_TeleportNavigation
Teleport Icon Leader,8,Teleport to Leader Area,Teleport,teamlead,Diagnosis,Unsure,AOI_TeleportNavigation
Teleport Icon Defib Machine,18,Teleport to Defib Area,Teleport,defib,Intervention,Unsure,AOI_TeleportNavigation
Teleport Icon Airway,24,Teleport to Airway Area,Teleport,airway,Intervention,Unsure,AOI_TeleportNavigation
Teleport Airway - BVM,22,Teleport to CPR Area,Teleport,cpr,Intervention,Unsure,AOI_TeleportNavigation
Tablet_C3D,32,Patient Prior Info Monitor,Patient Prior Info Monitor,teamlead,Diagnosis,Unsure,AOI_Monitor
Syringe_Injection_Interactable_Right(Clone),23,Injection,Injection,cpr,Intervention,Unsure,AOI_Meds_Procedure
Syringe_Injection_Interactable_Left(Clone),33,Injection,Injection,defib,Intervention,Unsure,AOI_Meds_Procedure
Sync,32,Defibrillator Sync Button,Defibrillator Equipment,defib,Intervention,Unsure,AOI_DefibEquipment
Stethoscope_Cylinder(Clone),19,Stethoscope,Lung Sounds Check,cpr,Diagnosis,Unsure,AOI_NPC/Other
Pump_Mask_Interactable_R(Clone),31,Pump Mask,Airway Equipment,airway,Intervention,Unsure,AOI_AirwayEquipment
Pulse Point Neck - Defib Machine,22,PulseCheckPoint(Neck)Defib,Pulse Check,defib,Diagnosis,Unsure,AOI_PatientCore
Pulse Point Neck - AirWay/BVM,23,PulseCheckPoint(Neck)Airway,Pulse Check,airway,Diagnosis,Unsure,AOI_PatientCore
Pulse Point Groin - Defib Machine,23,PulseCheckPoint(Neck)Defib,Pulse Check,defib,Diagnosis,Unsure,AOI_PatientCore
Pulse Point Groin - AirWay/BVM,21,PulseCheckPoint(Groin)Airway,Pulse Check,airway,Diagnosis,Wrong,AOI_PatientCore
Patient Torso,34,Patient Torso,Patient,"teamlead, airway, cpr, defib",Diagnosis,Check,AOI_PatientCore
Patient Right Leg,34,Patient Right Leg,Patient,"teamlead, airway, cpr, defib",Diagnosis,Unsure,AOI_PatientCore
Patient Right Arm,34,Patient Right Arm,Patient,"teamlead, airway, cpr, defib",Diagnosis,Unsure,AOI_PatientCore
Patient Left Leg,34,Patient Left Leg,Patient,"teamlead, airway, cpr, defib",Diagnosis,Unsure,AOI_PatientCore
Patient Left Arm,34,Patient Left Arm,Patient,"teamlead, airway, cpr, defib",Diagnosis,Unsure,AOI_PatientCore
Patient Head,34,Patient Head,Patient,"teamlead, airway, cpr, defib",Diagnosis,Unsure,AOI_PatientCore
Pacer,32,Pacer,Defibrillator Equipment,defib,Intervention,Unsure,AOI_DefibEquipment
OneSkeleton_Hips1,32,NPC,NPC,,,Unsure,AOI_NPC/Other
Non_Breather_Interactable(Clone),27,Bipap Mask,Ventilation,airway,Intervention,Unsure,AOI_AirwayEquipment
NetworkUser3,28,Dynamic Role 3,Team Member,,,Unsure,AOI_NPC/Other
NetworkUser2,34,Dynamic Role 2,Team Member,,,Unsure,AOI_NPC/Other
NetworkUser1,33,Dynamic Role 1,Team Member,,,Unsure,AOI_NPC/Other
NetworkHandR3,28,Dynamic Role R3,Team Member,,,Unsure,AOI_NPC/Other
NetworkHandR2,34,Dynamic Role R2,Team Member,,,Unsure,AOI_NPC/Other
NetworkHandR1,33,Dynamic Role R1,Team Member,,,Unsure,AOI_NPC/Other
NetworkHandL3,28,Dynamic Role L3,Team Member,,,Unsure,AOI_NPC/Other
NetworkHandL2,34,Dynamic Role L2,Team Member,,,Unsure,AOI_NPC/Other
NetworkHandL1,33,Dynamic Role L1,Team Member,,,Unsure,AOI_NPC/Other
Middle Part Vital Cognitive,34,"Respiratory Waveform, ETCO2",Patient Monitor,"teamlead, airway",Diagnosis,Unsure,AOI_Monitor
Lactated_Ringers_Interactable(Clone),33,IV,Medicine,defib,Intervention,Unsure,AOI_Meds_Procedure
IReact_NPC_Explaining,5,NPC,NPC,,,Unsure,AOI_NPC/Other
EnergySelect,25,Defibrillator Energy Selection,Defibrillator Equipment,defib,Intervention,Unsure,AOI_DefibEquipment
Down Part Vital Cognitive,34,"SpO2, Temp, RR",Patient Monitor,teamlead,Diagnosis,Unsure,AOI_Monitor
Defibrillator(Clone),34,Defibrillator Main Body,Defibrillator Equipment,defib,Intervention,Unsure,AOI_DefibEquipment
Defibrillator Vital Cognitive,34,Defibrillator Vitals Screen,Defibrillator Equipment,defib,Diagnosis,Unsure,AOI_Monitor
CustomUseB4(Clone),34,Glucose Meter,Glucose Check,defib,Diagnosis,Unsure,AOI_Meds_Procedure
Cpr UI,27,CPR UI,CPR,cpr,Intervention,Unsure,AOI_CPRHands
Cpr Hands Object,28,CPR Hand,CPR,cpr,Intervention,Unsure,AOI_CPRHands
Cog3D,13,Television,Television,teamlead,Diagnosis,Unsure,AOI_NPC/Other
Charge,30,Defibrillator Charge Button,Defibrillator Equipment,defib,Intervention,Unsure,AOI_DefibEquipment
Bipap_Mask_Interactable(Clone),33,Bipap Mask,Ventilation,airway,Intervention,Unsure,AOI_AirwayEquipment
A8_IntubatePatient(Clone),25,Intubate Mask,Ventilation,airway,Intervention,Unsure,AOI_AirwayEquipment
A8Pump_NoMask(Clone),31,Intubate Mask,Ventilation,airway,Intervention,Unsure,AOI_AirwayEquipment
A5PumpMask_R(Clone),26,Pump Mask,Ventilation,airway,Intervention,Unsure,AOI_AirwayEquipment
